student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade
291,13.5,92.2,7.4,92.4,A
292,11.5,89.6,6.3,71.6,B
293,10.9,88.2,5.2,74.5,B
294,20.9,76.2,8.1,87.5,A
295,17.5,92.0,7.0,89.9,A
296,10.1,90.0,3.0,80.4,B
297,21.3,100.0,6.9,94.9,A
298,17.2,77.6,6.7,92.6,A
299,20.7,84.6,10.0,95.8,A
300,19.4,93.6,6.2,100.0,A
301,9.2,89.2,3.9,62.9,C
302,11.1,90.4,5.9,81.1,B
303,20.2,70.6,4.7,100.0,A
304,19.3,91.1,5.8,100.0,A
305,14.9,97.7,6.0,87.6,A
306,15.8,73.4,8.9,88.1,A
307,23.9,86.1,4.9,100.0,A
308,10.9,80.5,5.7,77.1,B
309,18.8,87.2,4.2,80.0,B
310,13.6,97.7,3.5,100.0,A
311,13.5,73.9,8.6,90.6,A
312,22.7,85.4,9.2,95.9,A
313,20.8,84.2,7.3,99.6,A
314,20.7,88.8,3.8,100.0,A
315,24.1,80.4,4.9,100.0,A
316,15.1,100.0,1.8,82.2,B
317,19.8,73.4,2.8,100.0,A
318,12.8,97.7,8.1,79.8,B
319,17.3,85.2,6.6,94.6,A
320,14.1,73.8,5.2,84.1,B
321,15.7,85.1,7.4,85.3,A
322,19.2,74.7,6.4,87.2,A
323,9.3,70.9,6.1,80.3,B
324,29.6,100.0,6.1,100.0,A
325,8.0,90.2,4.8,71.6,B
326,6.5,86.0,8.6,75.5,B
327,23.1,81.6,3.7,98.6,A
328,20.5,93.7,8.2,100.0,A
329,19.4,87.7,5.8,100.0,A
330,19.4,80.3,5.4,97.9,A
331,14.9,100.0,10.0,90.5,A
332,8.7,87.3,4.5,41.3,D
333,15.5,75.8,7.2,93.3,A
334,10.3,78.2,10.0,81.3,B
335,21.8,88.8,7.0,100.0,A
336,14.0,98.7,6.6,97.8,A
337,9.2,88.3,8.0,56.7,C
338,12.8,94.1,7.1,81.2,B
339,17.9,78.4,5.8,99.9,A
340,11.1,88.1,7.4,94.6,A
341,9.2,83.7,2.4,72.9,B
342,16.7,74.9,5.1,80.6,B
343,16.7,94.9,10.0,97.0,A
344,11.5,78.1,5.8,89.4,A
345,11.7,97.9,8.2,79.7,B
346,16.6,100.0,4.3,100.0,A
347,4.9,91.0,6.0,59.0,C
348,5.1,79.5,7.9,56.9,C
349,10.0,72.0,6.4,79.9,B
350,13.5,80.0,4.4,91.5,A
351,17.2,85.4,4.9,100.0,A
352,25.3,85.3,7.6,100.0,A
353,21.0,73.6,6.7,87.3,A
354,13.9,65.4,3.9,87.4,A
355,14.9,87.1,6.9,88.3,A
356,8.0,94.8,6.2,68.8,C
357,14.9,90.4,7.2,94.7,A
358,13.0,92.5,7.8,76.4,B
359,17.3,90.4,6.4,100.0,A
360,9.2,82.3,6.9,72.1,B
361,18.6,100.0,4.6,83.7,B
362,25.7,65.4,6.7,100.0,A
363,14.2,88.1,6.0,85.1,A
364,17.8,82.1,3.7,89.5,A
365,19.8,80.0,1.9,95.4,A
366,12.2,97.8,3.5,82.5,B
367,16.6,89.5,7.2,77.5,B
368,15.1,99.6,5.6,89.9,A
369,15.7,91.3,3.1,93.3,A
370,9.6,94.4,7.5,80.0,B
371,15.2,88.4,5.7,96.4,A
372,18.5,97.3,6.4,95.0,A
373,25.2,100.0,6.9,100.0,A
374,21.7,97.8,1.2,100.0,A
375,30.1,99.7,6.6,100.0,A
376,9.6,89.8,3.2,82.4,B
377,21.1,80.3,7.5,92.2,A
378,16.3,94.9,6.0,100.0,A
379,30.3,64.4,4.1,100.0,A
380,9.3,81.7,3.8,60.4,C
381,9.1,68.2,2.6,76.5,B
382,10.8,87.0,6.3,88.7,A
383,0.1,100.0,9.0,33.8,F
384,11.3,76.4,6.7,67.3,C
385,9.7,96.9,10.0,87.6,A
386,16.1,76.0,9.5,92.1,A
387,17.4,76.8,6.7,85.4,A
388,28.1,77.2,7.5,100.0,A
389,21.7,85.5,5.8,100.0,A
390,11.0,70.7,5.4,97.6,A
391,8.7,84.9,4.2,54.1,D
392,18.4,92.8,4.6,85.8,A
393,5.8,88.0,4.8,63.1,C
394,27.8,80.3,9.5,100.0,A
395,23.3,90.6,6.3,100.0,A
396,11.7,92.7,7.5,89.6,A
397,3.0,86.6,6.5,58.6,C
398,24.5,85.5,8.1,100.0,A
399,14.2,100.0,7.2,81.5,B
400,23.7,87.9,6.6,100.0,A
401,3.8,85.8,4.7,67.2,C
402,10.8,88.7,4.5,67.8,C
403,15.0,91.7,4.4,87.4,A
404,15.3,82.9,9.9,90.2,A
405,11.8,73.2,2.7,64.9,C
406,19.4,67.1,6.5,88.6,A
407,7.5,87.5,7.6,81.3,B
408,14.0,76.5,5.4,88.5,A
409,15.8,90.0,4.9,85.6,A
410,18.6,87.8,4.1,91.5,A
411,20.0,83.3,6.5,100.0,A
412,7.1,83.1,8.3,66.4,C
413,4.3,77.5,5.9,54.3,D
414,23.9,70.1,7.7,100.0,A
415,17.3,91.6,5.5,89.6,A
416,9.8,94.2,5.6,89.2,A
417,25.9,79.2,5.7,100.0,A
418,15.8,90.1,5.7,96.3,A
419,23.3,66.9,4.6,100.0,A
420,15.5,98.2,4.7,90.5,A
421,29.4,91.3,7.9,100.0,A
422,27.3,83.0,5.4,100.0,A
423,13.3,75.8,8.7,71.4,B
424,21.8,100.0,7.1,89.8,A
425,19.5,91.0,7.2,81.8,B
426,24.6,93.6,4.9,100.0,A
427,8.2,85.1,9.9,74.1,B
428,19.8,100.0,4.9,100.0,A
429,22.4,82.9,4.4,96.4,A
430,2.7,88.0,5.1,47.0,D
431,6.7,90.2,4.2,46.4,D
432,0.7,89.0,6.8,54.4,D
433,13.1,93.6,5.3,76.0,B
434,20.0,80.1,2.2,97.8,A
435,25.5,95.1,6.7,100.0,A
436,15.5,91.8,4.9,92.8,A
437,26.4,90.4,6.3,100.0,A
438,5.3,97.0,3.7,78.9,B
439,3.1,78.2,3.8,74.0,B
440,14.6,81.0,5.5,75.3,B
441,17.7,90.2,6.1,88.4,A
442,14.8,95.8,7.9,81.0,B
443,0.5,89.4,8.9,45.8,D
444,14.4,97.7,6.4,80.3,B
445,5.9,89.5,8.3,69.6,C
446,19.7,81.0,7.8,98.2,A
447,17.6,84.0,5.5,100.0,A
448,8.4,95.8,6.2,89.5,A
449,11.4,95.8,7.2,66.9,C
450,7.6,61.6,8.4,80.3,B
451,14.6,92.6,2.8,67.3,C
452,21.7,80.6,8.4,100.0,A
453,8.1,99.4,4.8,78.7,B
454,18.5,94.1,8.1,86.2,A
455,11.3,92.8,7.5,71.9,B
456,9.4,88.3,6.6,49.3,D
457,14.3,83.4,5.0,93.4,A
458,7.8,89.2,6.4,55.0,C
459,11.1,76.4,4.3,79.6,B
460,6.6,99.9,4.2,51.9,D
461,28.8,70.1,3.9,100.0,A
462,15.2,100.0,3.5,94.0,A
463,10.1,100.0,4.9,96.2,A
464,16.5,78.7,5.9,77.5,B
465,14.2,81.9,6.0,85.2,A
466,13.5,96.6,4.9,99.2,A
467,19.3,72.7,7.2,92.8,A
468,20.3,89.4,4.9,100.0,A
469,11.3,97.7,5.0,72.3,B
470,11.0,96.7,7.0,65.7,C
471,13.1,82.8,8.9,66.0,C
472,0.0,97.2,3.9,60.0,C
473,4.4,88.1,4.5,63.6,C
474,24.6,98.7,5.5,100.0,A
475,26.5,77.8,6.3,100.0,A
476,13.3,79.0,8.2,82.1,B
477,19.0,94.1,6.1,83.4,B
478,17.2,98.3,5.3,97.2,A
479,36.6,77.7,5.2,100.0,A
480,22.8,89.4,5.0,100.0,A
481,14.1,80.7,6.2,80.2,B
482,8.3,78.0,5.5,78.5,B
483,3.8,88.3,6.5,67.7,C
484,16.4,84.5,3.7,75.5,B
485,9.7,79.7,4.8,74.0,B
486,5.0,74.5,6.5,68.5,C
487,10.5,52.5,4.4,66.9,C
488,7.4,84.7,4.2,87.8,A
489,26.8,72.8,6.4,100.0,A
490,21.2,82.5,9.3,100.0,A
491,14.9,96.7,8.4,88.1,A
492,25.4,78.1,5.4,100.0,A
493,15.5,70.6,8.4,100.0,A
494,9.0,90.3,3.4,85.5,A
495,25.7,88.9,6.6,100.0,A
496,18.8,83.2,7.7,100.0,A
497,7.7,81.4,5.3,72.8,B
498,13.7,87.0,5.6,100.0,A
499,8.9,87.4,4.0,63.5,C
500,5.3,74.2,8.9,72.7,B
501,21.5,99.4,2.8,100.0,A
502,28.4,78.6,5.8,100.0,A
503,5.2,67.6,6.2,69.7,C
504,18.9,82.7,3.6,95.4,A
505,10.4,73.6,3.6,56.8,C
506,11.6,98.6,5.9,75.2,B
507,10.9,83.9,4.5,72.6,B
508,9.0,92.6,6.7,64.6,C
509,15.3,94.6,8.4,72.6,B
510,9.2,87.1,2.4,80.7,B
511,16.9,100.0,3.0,89.4,A
512,14.6,91.1,8.7,91.1,A
513,13.3,85.4,0.9,92.8,A
514,8.6,88.3,9.3,63.2,C
515,11.0,76.1,6.1,80.9,B
516,20.3,75.4,5.2,94.3,A
517,18.5,93.7,5.5,92.6,A
518,8.2,85.4,3.9,65.8,C
519,15.7,94.4,8.0,96.1,A
520,20.3,98.4,5.2,100.0,A
521,3.3,90.4,6.3,66.1,C
522,18.8,98.8,5.9,90.7,A
523,10.4,60.2,7.7,63.3,C
524,19.0,85.9,8.0,100.0,A
525,9.7,85.1,7.6,63.5,C
526,2.4,77.1,6.6,79.1,B
527,3.6,86.1,5.8,63.9,C
528,15.3,76.4,8.8,88.2,A
529,16.8,91.0,6.8,79.1,B
530,8.7,83.1,6.6,70.6,B
531,19.5,77.4,5.3,99.3,A
532,3.4,90.9,4.4,55.1,C
533,14.5,100.0,4.7,81.3,B
534,6.5,81.6,6.6,43.0,D
535,10.4,83.7,6.1,89.0,A
536,15.3,88.2,8.9,78.5,B
537,9.0,82.4,7.5,77.6,B
538,12.3,86.8,7.1,92.0,A
539,22.0,74.0,4.5,100.0,A
540,11.0,73.6,9.0,73.2,B
541,20.8,81.3,6.2,96.5,A
542,7.1,81.6,4.5,62.1,C
543,18.7,87.9,7.3,86.1,A
544,25.1,90.6,6.9,100.0,A
545,0.0,75.7,6.8,37.8,F
546,9.4,84.1,4.8,65.3,C
547,19.0,80.5,6.3,79.8,B
548,13.6,94.1,8.2,100.0,A
549,17.6,74.9,7.5,89.2,A
550,10.8,94.3,7.0,79.8,B
551,15.6,90.9,6.0,100.0,A
552,13.9,86.3,5.6,87.0,A
553,23.2,82.3,8.7,98.9,A
554,16.8,78.2,7.9,98.6,A
555,17.4,75.7,4.7,100.0,A
556,12.1,100.0,6.7,86.5,A
557,11.6,89.1,9.0,76.3,B
558,12.0,80.6,7.7,82.8,B
559,17.8,73.9,4.2,100.0,A
560,12.1,67.1,3.3,100.0,A
561,17.0,79.1,4.8,100.0,A
562,29.5,94.1,2.5,100.0,A
563,21.1,79.6,7.1,72.2,B
564,12.7,76.7,7.6,87.8,A
565,23.4,84.8,8.4,100.0,A
566,12.1,80.1,9.8,100.0,A
567,0.7,94.0,6.1,63.1,C
568,7.9,68.0,7.0,61.8,C
569,1.9,97.1,8.5,58.9,C
570,12.5,88.3,5.9,76.3,B
571,15.1,100.0,5.0,100.0,A
572,26.7,76.0,4.1,100.0,A
573,17.3,76.1,6.6,99.4,A
574,13.5,79.3,6.5,89.0,A
575,20.8,77.4,6.4,83.8,B
576,0.0,82.6,8.4,61.9,C
577,16.6,75.8,8.5,80.1,B
578,20.4,100.0,3.8,95.8,A
579,4.6,75.5,6.6,58.1,C
580,23.0,93.0,7.6,100.0,A
581,17.4,92.8,5.1,86.0,A
582,12.1,75.1,4.0,86.8,A
583,19.4,89.4,3.6,100.0,A
584,30.9,100.0,7.1,100.0,A
585,16.3,74.3,6.4,99.9,A
586,16.7,79.0,5.4,84.2,B
587,11.8,89.6,3.9,80.9,B
588,9.1,80.8,3.1,72.0,B
589,20.8,80.6,5.3,100.0,A
590,9.0,85.2,4.3,65.3,C
591,15.5,81.6,7.6,93.7,A
592,11.7,77.2,6.3,67.8,C
593,18.4,79.1,2.0,91.3,A
594,17.3,98.2,4.7,84.9,B
595,22.3,91.5,4.5,99.3,A
596,11.4,87.0,8.9,67.3,C
597,13.1,63.1,4.0,99.9,A
598,8.1,84.5,4.6,74.1,B
599,11.9,65.9,4.7,100.0,A
600,17.6,93.8,7.0,91.4,A
601,20.3,69.7,3.6,89.6,A
602,8.5,81.2,10.0,76.3,B
603,21.1,99.7,6.0,100.0,A
604,24.5,80.9,8.2,100.0,A
605,17.9,80.6,6.0,100.0,A
606,28.1,97.7,6.0,100.0,A
607,9.6,83.5,6.9,77.4,B
608,6.3,78.5,6.8,52.3,D
609,2.5,94.0,7.6,51.9,D
610,25.5,80.4,5.2,100.0,A
611,19.6,75.5,10.0,100.0,A
612,14.6,72.6,7.3,74.7,B
613,17.0,93.8,7.0,99.1,A
614,7.1,100.0,6.3,70.6,B
615,32.1,78.9,4.7,100.0,A
616,15.9,90.2,7.6,97.6,A
617,15.8,92.5,3.3,96.7,A
618,20.1,79.0,8.9,100.0,A
619,18.4,100.0,8.5,98.9,A
620,16.6,91.6,4.9,93.2,A
621,9.5,79.8,4.7,73.6,B
622,18.3,89.0,9.0,89.7,A
623,28.2,78.6,5.8,100.0,A
624,24.4,92.7,4.3,100.0,A
625,26.2,77.9,4.6,100.0,A
626,11.4,90.2,6.9,91.1,A
627,8.1,77.5,5.2,71.1,B
628,14.1,85.0,5.3,69.3,C
629,15.4,82.3,5.4,80.9,B
630,22.7,89.6,5.7,100.0,A
631,3.2,86.8,4.4,66.2,C
632,25.7,94.9,4.4,100.0,A
633,13.9,80.0,7.2,89.4,A
634,12.0,92.4,5.6,78.3,B
635,7.9,71.9,6.9,67.3,C
636,3.4,77.7,6.4,69.2,C
637,20.8,87.1,8.6,100.0,A
638,15.5,100.0,5.4,89.9,A
639,6.0,91.7,5.3,49.8,D
640,5.9,74.6,6.5,82.7,B
641,12.6,100.0,8.4,82.1,B
642,26.7,100.0,6.0,100.0,A
643,13.2,85.6,7.9,94.7,A
644,4.5,73.1,5.3,65.7,C
645,13.3,70.8,6.6,74.0,B
646,13.1,90.4,5.6,83.8,B
647,0.0,80.5,6.7,44.5,D
648,14.6,91.4,6.5,90.0,A
649,13.4,91.3,1.8,86.9,A
650,19.9,94.1,1.9,93.6,A
651,27.9,74.4,6.1,100.0,A
652,22.9,89.2,6.2,100.0,A
653,13.1,75.2,4.4,75.9,B
654,7.3,100.0,6.4,78.6,B
655,33.0,85.3,5.7,100.0,A
656,15.4,76.3,7.4,97.4,A
657,15.1,77.8,6.9,94.8,A
658,14.8,89.0,6.3,93.2,A
659,16.4,86.7,6.3,92.2,A
660,14.0,85.6,5.3,75.2,B
661,11.0,84.3,4.1,73.4,B
662,11.2,79.6,0.8,81.0,B
663,14.8,89.5,8.6,98.8,A
664,11.2,93.5,7.8,86.1,A
665,10.0,75.6,6.1,84.2,B
666,15.7,93.5,7.8,78.1,B
667,13.2,100.0,6.6,84.4,B
668,25.5,81.7,5.3,100.0,A
669,0.0,86.4,4.5,34.5,F
670,22.6,83.7,5.9,100.0,A
671,23.7,84.7,5.8,97.7,A
672,0.5,82.0,6.8,51.8,D
673,12.6,77.7,4.4,81.9,B
674,12.4,90.0,7.4,87.5,A
675,5.1,88.4,6.2,70.5,B
676,9.6,78.0,6.1,76.2,B
677,7.2,81.4,4.1,74.6,B
678,27.3,88.2,6.6,100.0,A
679,21.5,81.2,9.7,100.0,A
680,23.9,74.2,10.0,100.0,A
681,20.1,82.8,5.0,100.0,A
682,7.1,91.7,6.2,83.2,B
683,11.3,90.3,7.0,94.8,A
684,18.4,90.2,8.3,100.0,A
685,6.4,69.1,5.7,51.6,D
686,20.0,84.5,7.9,100.0,A
687,13.3,57.2,8.2,95.1,A
688,12.4,78.5,4.4,76.5,B
689,20.0,84.6,6.0,100.0,A
690,18.1,75.7,3.1,100.0,A
691,12.5,64.0,6.6,68.5,C
692,23.1,80.8,10.0,100.0,A
693,7.4,100.0,4.1,66.7,C
694,19.3,97.0,6.0,96.8,A
695,19.2,84.3,5.2,100.0,A
696,12.8,94.0,5.9,100.0,A
